architecture,family,design,N,g,c_A,c_B,specificity,mode,R,valid_R,undefined_R,mean_A,mean_B,delta,bias,true_change,delta_sd,delta_mcse,mean_RC,ratio_of_means_RC,RC_q025,RC_q975,delta_q025,delta_q975,improve_5,improve_5_mcse,improve_5_lo,improve_5_hi,deteriorate_5,deteriorate_5_mcse,deteriorate_5_lo,deteriorate_5_hi,improve_10,improve_10_mcse,improve_10_lo,improve_10_hi,deteriorate_10,deteriorate_10_mcse,deteriorate_10_lo,deteriorate_10_hi,direction_reversal,direction_reversal_mcse,direction_reversal_lo,direction_reversal_hi,masked,masked_mcse,masked_lo,masked_hi,population_OE_A,population_OE_B,expected_RC
B1,main,paired,2000,0.1,0.7,0.75,0.995,independent,10000,10000,0,1.209129452,1.05146491512,-0.157664536879,-0.0576645368788,-0.1,0.0301499675769,0.000301499675769,-0.130392243424,-0.130395084346,-0.176776806885,-0.0880571084988,-0.221075850363,-0.102521607679,0.9999,9.9994999875e-05,0.999433731103,0.999982347326,0,0,0,0.000383998370677,0.9116,0.00283875747467,0.905876907309,0.917006985232,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.05152234002,-0.130605699464
B1,main,paired,2000,0.1,0.7,0.775,0.995,independent,10000,10000,0,1.209129452,1.0336970438,-0.175432408201,-0.0754324082013,-0.1,0.0305634704841,0.000305634704841,-0.145079372701,-0.145089847833,-0.191643246436,-0.102608206851,-0.239207771854,-0.119015820677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9825,0.00131124940419,0.979738541372,0.9848909002,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.03373650146,-0.145310956865
B1,main,paired,2000,0.1,0.7,0.8,0.995,independent,10000,10000,0,1.209129452,1.01628987402,-0.192839577978,-0.0928395779783,-0.1,0.0310126953636,0.000310126953636,-0.159465906164,-0.159486296243,-0.205331090715,-0.117311173142,-0.25744287576,-0.135246901479,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9971,0.000537735064879,0.995838225453,0.997980003366,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,1.01640959182,-0.159636773746
B1,main,paired,2000,0.1,0.7,0.825,0.995,independent,10000,10000,0,1.209129452,0.999398990926,-0.209730461077,-0.109730461077,-0.1,0.0314150168829,0.000314150168829,-0.173428383109,-0.173455754245,-0.218759158942,-0.131672432261,-0.27453541224,-0.151179898615,1,0,0.999616001629,1,0,0,0,0.000383998370677,0.9998,0.000141407213395,0.999271004156,0.999945151073,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.999525398538,-0.173596554578
B1,main,paired,2000,0.1,0.7,0.85,0.995,independent,10000,10000,0,1.209129452,0.982943731042,-0.226185720961,-0.126185720961,-0.1,0.0319442865864,0.000319442865864,-0.187027074063,-0.187064933855,-0.231939459978,-0.145256858659,-0.292421284113,-0.166397201614,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.983068441564,-0.187203098207
B1,main,paired,2000,0.1,0.7,0.875,0.995,independent,10000,10000,0,1.209129452,0.966916906298,-0.242212545705,-0.142212545705,-0.1,0.032421799292,0.00032421799292,-0.200277718708,-0.200319779908,-0.244631197261,-0.158821332774,-0.309091980922,-0.181479070055,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.967023932932,-0.200468631263
B1,main,paired,2000,0.1,0.7,0.9,0.995,independent,10000,10000,0,1.209129452,0.951213082526,-0.257916369477,-0.157916369477,-0.1,0.0329486062453,0.000329486062453,-0.213258616314,-0.213307490814,-0.257230643123,-0.172431864093,-0.325845997416,-0.196340358762,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.951377738995,-0.213404839383
B1,main,paired,2000,0.1,0.7,0.925,0.995,independent,10000,10000,0,1.209129452,0.935918724881,-0.273210727122,-0.173210727122,-0.1,0.03350688495,0.0003350688495,-0.225899414512,-0.225956556322,-0.269848808071,-0.185528784538,-0.342953606327,-0.210637803309,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.936116345093,-0.226022896434
B1,main,paired,2000,0.1,0.7,0.95,0.995,independent,10000,10000,0,1.209129452,0.921018646932,-0.288110805071,-0.188110805071,-0.1,0.0340702783596,0.000340702783596,-0.238214682574,-0.238279536234,-0.28140566474,-0.198210500701,-0.358983086978,-0.224054959899,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.921226822461,-0.238333491864
B1,main,paired,2000,0.1,0.7,0.975,0.995,independent,10000,10000,0,1.209129452,0.906532331376,-0.302597120626,-0.202597120626,-0.1,0.034602466972,0.00034602466972,-0.250191995686,-0.250260317557,-0.292713397722,-0.210580545306,-0.374201957945,-0.237390977017,1,0,0.999616001629,1,0,0,0,0.000383998370677,1,0,0.999616001629,1,0,0,0,0.000383998370677,0,0,0,0.000383998370677,0,0,0,0.000383998370677,1.20948842127,0.906696797237,-0.250346856332
